Cipher Suite,None,Medium,Unknown or unspecified TLS setting identified. Please contact the OpenKAT team with your finding. ,None,Medium,Unknown or unspecified TLS setting identified. Please contact the OpenKAT team with your finding. ,Au=None,Medium,Unknown or unspecified TLS setting identified. Please contact the OpenKAT team with your finding. ,Au=None,Medium,Unknown or unspecified TLS setting identified. Please contact the OpenKAT team with your finding. ,Mac=None,Medium,Unknown or unspecified TLS setting identified. Please contact the OpenKAT team with your finding.
DES-CBC3-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,Enc=3DES,High,Using 3DES as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC4-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,RC4-128,High,Using RC4 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC4-64-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,RC4-64,High,Using RC4 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC4-40-MD5,SSLv2,High,SSLv2 protocol detected,RSA export,High,Using EXPORT RSA as key exchange algorithm,Au=RSA,High,Using EXPORT RSA for authentication,RC4-40,High,Using RC4 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
DES-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,DES-CBC,High,Using DES as bulk encryption algorithm,MD5,High,Using MD5 as hash function
EXP-DES-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA export,Medium,Using EXPORT RSA as key exchange algorithm,Au=RSA,Medium,Using EXPORT RSA for authentication,DES-CBC-40,High,Using DES as bulk encryption algorithm,MD5,High,Using MD5 as hash function
EXP-RC2-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA export,Medium,Using EXPORT RSA as key exchange algorithm,Au=RSA,Medium,Using EXPORT RSA for authentication,RC2-CBC-40,High,Using RC2 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC2-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,RC2-CBC,High,Using RC2 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC2-64-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,RC2-CBC-64,High,Using RC2 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC2-40-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA export,High,Using EXPORT RSA as key exchange algorithm,Au=RSA,High,Using EXPORT RSA for authentication,RC2-CBC-40,High,Using RC2 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
IDEA-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,IDEA-CBC,High,Using IDEA as bulk encryption algorithm,MD5,High,Using MD5 as hash function
DES-CBC3-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,3DES-CBC,High,Using 3DES as bulk encryption algorithm,MD5,High,Using MD5 as hash function
DES-CBC-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,DES-CBC,High,Using DES as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC4-MD5,SSLv2,High,SSLv2 protocol detected,RSA,Medium,Using RSA as key exchange algorithm,Au=RSA,Medium,Using RSA for authentication,RC4-128,High,Using RC4 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
RC4-40-MD5,SSLv2,High,SSLv2 protocol detected,RSA export,High,Using EXPORT RSA as key exchange algorithm,Au=RSA,High,Using EXPORT RSA for authentication,RC4-40,High,Using RC4 as bulk encryption algorithm,MD5,High,Using MD5 as hash function
DHE-DSS-AES128-SHA,SSLv3,High,SSLv3 protocol detected,Kx=DH,Medium,Supporting weak DHE for key exchange,Au=DSS,Medium,Using DSS for authentication,Enc=AES128,Low,Using CBC as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
DHE-DSS-AES256-SHA,SSLv3,High,SSLv3 protocol detected,Kx=DH,Medium,Supporting weak DHE for key exchange,Au=DSS,Medium,Using DSS for authentication,Enc=AES256,Low,Using CBC as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
DHE-DSS-CAMELLIA128-SHA,SSLv3,High,SSLv3 protocol detected,Kx=DH,Medium,Supporting weak DHE for key exchange,Au=DSS,Medium,Using DSS for authentication,Enc=Camellia128,Low,Using Camellia as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
DHE-DSS-CAMELLIA256-SHA,SSLv3,High,SSLv3 protocol detected,Kx=DH,Medium,Supporting weak DHE for key exchange,Au=DSS,Medium,Using DSS for authentication,Enc=Camellia256,Low,Using Camellia as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
DHE-DSS-SEED-SHA,SSLv3,High,SSLv3 protocol detected,Kx=DH,Medium,Supporting weak DHE for key exchange,Au=DSS,Medium,Using DSS for authentication,Enc=SEED128,Low,Using SEED as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
ADH-AES128-SHA,SSLv3,High,SSLv3 protocol detected,Kx=ADH,High,Supporting unsafe anonymous key exchanges,Au=None,High,Using anonymous authentication,Enc=AES128,Low,Using CBC as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
ADH-AES256-SHA,SSLv3,High,SSLv3 protocol detected,Kx=ADH,High,Supporting unsafe anonymous key exchanges,Au=None,High,Using anonymous authentication,Enc=AES256,Low,Using CBC as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
ADH-CAMELLIA128-SHA,SSLv3,High,SSLv3 protocol detected,Kx=ADH,High,Supporting unsafe anonymous key exchanges,Au=None,High,Using anonymous authentication,Enc=Camellia128,Low,Using Camellia as bulk encryption algorithm,Mac=SHA1,Medium,Using SHA-1 as hash function
